강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 전국
기간 : 20200601~20200630

날짜,지점,강수량(mm)
2020-06-01,전국,0.3
2020-06-02,전국,0.5
2020-06-03,전국,0.2
2020-06-04,전국,0
2020-06-05,전국,0
2020-06-06,전국,0.6
2020-06-07,전국,0
2020-06-08,전국,0
2020-06-09,전국,0
2020-06-10,전국,11.8
2020-06-11,전국,10.8
2020-06-12,전국,11
2020-06-13,전국,18.3
2020-06-14,전국,18.4
2020-06-15,전국,0
2020-06-16,전국,0
2020-06-17,전국,1.1
2020-06-18,전국,18.6
2020-06-19,전국,1.2
2020-06-20,전국,0.1
2020-06-21,전국,0.3
2020-06-22,전국,0
2020-06-23,전국,0
2020-06-24,전국,19.9
2020-06-25,전국,3.8
2020-06-26,전국,0.3
2020-06-27,전국,0.1
2020-06-28,전국,0
2020-06-29,전국,39.2
2020-06-30,전국,27.9
